Flight No.,Timestamp,Altitude,Latitude,Longitude,New Cluster,New Order
DL419,1530277200,36500.0,46.0,-42.8,0,51
DL422,1530277200,0.0,40.6,-73.5,0,20
DL43,1530277200,30900.0,51.1,-43.0,0,164
DL45,1530277200,32000.0,54.4,-19.6,0,75
DL47,1530277200,36000.0,50.6,-47.6,0,24
DL477,1530277200,37000.0,45.3,-10.9,0,180
DL478,1530277200,36000.0,15.1,-18.5,0,200
DL49,1530277200,35000.0,51.2,-42.3,0,163
DL501,1530277200,35000.0,49.6,-10.6,0,125
DL51,1530277200,34000.0,62.6,-32.5,0,120
DL54,1530277200,39000.0,13.8,-9.76,0,199
DL59,1530277200,35000.0,50.6,-47.2,0,25
DL63,1530277200,32900.0,44.4,-36.5,0,105
DL71,1530277200,38000.0,46.3,-63.6,0,57
DL73,1530277200,34000.0,50.2,-35.6,0,2
DL75,1530277200,35000.0,52.8,-10.9,0,212
DL81,1530277200,32000.0,52.7,-31.4,0,81
DL83,1530277200,38000.0,43.9,-59.7,0,60
DL87,1530277200,32000.0,52.2,-29.1,0,191
DL91,1530277200,33000.0,51.7,-39.3,0,153
DL97,1530277200,38700.0,44.9,-43.4,0,159
LH400,1530277200,38000.0,52.1,-30.3,0,188
LH402,1530277200,34000.0,52.3,-4.21,0,144
LH410,1530277200,37000.0,55.0,-16.1,0,116
LH416,1530277200,38000.0,50.5,-41.8,0,162
LH418,1530277200,34000.0,52.4,-7.39,0,86
LH421,1530277200,0.0,39.9,-72.7,0,17
LH422,1530277200,36000.0,52.7,-7.98,0,147
LH423,1530277200,0.0,42.2,-70.8,0,14
LH426,1530277200,36000.0,52.9,-7.59,0,145
LH428,1530277200,37000.0,54.0,-17.1,0,114
LH438,1530277200,32000.0,61.9,-37.9,0,84
LH440,1530277200,36000.0,62.9,-41.5,0,90
LH442,1530277200,36000.0,60.3,-47.5,0,93
LH444,1530277200,36000.0,51.6,-26.4,0,189
LH452,1530277200,36000.0,60.0,-14.4,0,169
LH454,1530277200,37000.0,68.3,-42.8,0,37
LH456,1530277200,34000.0,68.3,-42.2,0,39
LH462,1530277200,38000.0,51.0,-31.1,0,194
LH475,1530277200,0.0,45.3,-73.5,0,132
LH480,1530277200,37500.0,57.2,-13.8,0,96
LH484,1530277200,32300.0,48.2,-14.3,0,128
LH488,1530277200,34000.0,63.8,-23.9,0,209
LH490,1530277200,33000.0,68.3,-42.6,0,38
LH492,1530277200,34000.0,54.8,-1.16,0,207
LH501,1530277200,0.0,-24.6,-44.7,0,202
LH519,1530277200,39000.0,51.7,-7.75,0,175
LH8164,1530277200,33000.0,60.1,-42.7,0,91
LH8175,1530277200,33000.0,55.1,-7.02,0,173
LH8189,1530277200,29000.0,58.2,-18.6,0,71
LH8224,1530277200,30100.0,52.6,-7.07,0,87
LH8250,1530277200,33400.0,7.71,-32.9,0,201
UA119,1530277200,31000.0,61.6,-34.4,0,121
UA121,1530277200,35200.0,44.0,-25.1,0,195
UA123,1530277200,38000.0,43.5,-65.2,0,55
UA127,1530277200,36000.0,54.8,-12.8,0,101
UA135,1530277200,34000.0,46.8,-36.9,0,178
UA141,1530277200,34000.0,44.1,-31.5,0,176
UA145,1530277200,32500.0,43.1,-21.1,0,30
UA147,1530277200,37000.0,55.3,-19.3,0,74
UA15,1530277200,32000.0,50.8,-39.3,0,154
UA153,1530277200,18900.0,54.0,-6.78,0,174
UA160,1530277200,32000.0,51.6,-39.6,0,131
UA162,1530277200,38000.0,50.6,-55.0,0,64
UA169,1530277200,32000.0,49.6,-4.16,0,141
UA17,1530277200,32000.0,53.5,-20.3,0,76
UA18,1530277200,36700.0,49.9,-38.4,0,156
UA195,1530277200,38000.0,60.7,-14.7,0,170
UA21,1530277200,36000.0,50.1,-36.8,0,3
UA22,1530277200,38000.0,48.8,-58.4,0,61
UA24,1530277200,35000.0,52.8,-25.2,0,40
UA26,1530277200,40000.0,60.4,-27.6,0,124
UA31,1530277200,32000.0,49.2,-3.84,0,140
UA41,1530277200,32000.0,45.4,-37.1,0,106
UA43,1530277200,34000.0,46.3,-23.8,0,108
UA45,1530277200,40000.0,68.6,-64.6,0,9
UA47,1530277200,35000.0,51.8,-2.66,0,143
UA50,1530277200,33000.0,42.0,-6.67,0,183
UA53,1530277200,38600.0,53.6,-26.1,0,44
UA56,1530277200,36000.0,48.7,-55.9,0,63
UA65,1530277200,37000.0,43.8,-37.6,0,104
UA71,1530277200,32000.0,51.0,-44.5,0,166
UA865,1530277200,38000.0,48.7,-56.0,0,62
UA900,1530277200,31100.0,68.1,-40.4,0,152
UA906,1530277200,36000.0,58.1,-15.0,0,168
UA908,1530277200,32000.0,56.2,-11.3,0,100
UA914,1530277200,34000.0,50.8,-24.8,0,190
UA919,1530277200,0.0,51.5,-0.487,0,138
UA947,1530277200,35000.0,53.8,-24.3,0,43
UA951,1530277200,35000.0,52.4,-28.1,0,69
UA953,1530277200,32000.0,59.8,-19.4,0,73
UA957,1530277200,34000.0,43.0,-49.8,0,215
UA961,1530277200,34000.0,52.3,-27.2,0,45
UA963,1530277200,32000.0,50.7,-46.5,0,26
UA971,1530277200,32000.0,60.9,-29.9,0,123
UA973,1530277200,33000.0,61.0,-39.3,0,83
UA975,1530277200,36000.0,50.5,-26.4,0,34
UA986,1530277200,36000.0,60.0,-32.2,0,119
UA988,1530277200,36100.0,52.7,-18.8,0,112
